Name,SKU,Description,Category,No Of Stock,Unit cost
Standing Desk,OFF-1674,Professional grade standing desk designed for durability and performance.,Office Supplies,110,48.87
Chef's Knife,KIT-6184,Professional grade chef's knife designed for durability and performance.,Kitchenware,56,253.19
Yoga Mat,FIT-2328,Professional grade yoga mat designed for durability and performance.,Fitness,40,305.69
Notebook Set,OFF-7957,Professional grade notebook set designed for durability and performance.,Office Supplies,192,447.69
Electric Kettle,KIT-4907,Professional grade electric kettle designed for durability and performance.,Kitchenware,21,260.79
Air Fryer,KIT-8523,Professional grade air fryer designed for durability and performance.,Kitchenware,103,158.15
Resistance Bands,FIT-7047,Professional grade resistance bands designed for durability and performance.,Fitness,186,183.6
Jump Rope,FIT-7558,Professional grade jump rope designed for durability and performance.,Fitness,17,93.22
Mechanical Keyboard,ELE-8474,Professional grade mechanical keyboard designed for durability and performance.,Electronics,42,261.23
Webcam 1080p,ELE-3045,Professional grade webcam 1080p designed for durability and performance.,Electronics,51,267.03
Dumbbell Set,FIT-4712,Professional grade dumbbell set designed for durability and performance.,Fitness,110,318.94
Noise Cancelling Headphones,ELE-4887,Professional grade noise cancelling headphones designed for durability and performance.,Electronics,179,433.92
Blender,KIT-8635,Professional grade blender designed for durability and performance.,Kitchenware,116,322.29
Gel Pens (12 pack),OFF-3896,Professional grade gel pens (12 pack) designed for durability and performance.,Office Supplies,143,401.86
Bean Bag,FUR-4331,Professional grade bean bag designed for durability and performance.,Furniture,186,445.14
USB-C Hub,ELE-8352,Professional grade usb-c hub designed for durability and performance.,Electronics,154,109.25
Side Table,FUR-3922,Professional grade side table designed for durability and performance.,Furniture,180,315.72
Ergonomic Chair,OFF-3336,Professional grade ergonomic chair designed for durability and performance.,Office Supplies,158,385.43
Foam Roller,FIT-3610,Professional grade foam roller designed for durability and performance.,Fitness,48,348.11
Floor Lamp,FUR-3125,Professional grade floor lamp designed for durability and performance.,Furniture,115,217.64
Bookshelf,FUR-1158,Professional grade bookshelf designed for durability and performance.,Furniture,53,185.95
Ottoman,FUR-6327,Professional grade ottoman designed for durability and performance.,Furniture,83,199.51
Wireless Mouse,ELE-2285,Professional grade wireless mouse designed for durability and performance.,Electronics,95,121.65
Desk Organizer,OFF-5791,Professional grade desk organizer designed for durability and performance.,Office Supplies,114,118.56
Cast Iron Skillet,KIT-1968,Professional grade cast iron skillet designed for durability and performance.,Kitchenware,167,269.95
